id,name,cell_id
11010102,Gihanga,110101
11010103,Iterambere,110101
11010104,Izuba,110101
11010105,Nyaburanga,110101
11010106,Nyenyeri,110101
11010107,Ubukorikori,110101
11010108,Ubumwe,110101
11010109,Ubwiyunge,110101
11010110,Umucyo,110101
11010111,Umurabyo,110101
11010112,Umuseke,110101
11010113,Vugizo,110101
11010201,Akinyambo,110102
11010202,Amayaga,110102
11010203,Gitwa,110102
11010204,Ituze,110102
11010205,Mpazi,110102
11010301,Amahoro,110103
11010302,Impuhwe,110103
11010303,Intsinzi,110103
11010304,Kivumu,110103
11010305,Ubumwe,110103
11010306,Urukundo,110103
11010307,Ururembo,110103
11010401,Ingenzi,110104
11010402,Sangwa,110104
11010403,Umubano,110104
11010404,Umucyo,110104
11010405,Umuhoza,110104
11010406,Umurava,110104
11010501,Akabugenewe,110105
11010502,Ihuriro,110105
11010503,Isangano,110105
11010504,Isano,110105
11010505,Karitasi,110105
11010506,Ubumanzi,110105
11010507,Uburezi,110105
11010508,Ubwiza,110105
11010509,Umucyo,110105
11010510,Umwembe,110105
11010511,Urugano,110105
11010601,Isangano,110106
11010602,Kanunga,110106
11010603,Kinyambo,110106
11010604,Kivumu,110106
11010605,Kora,110106
11010606,Mpazi,110106
11010607,Rugano,110106
11010608,Rugari,110106
11010609,Ubumwe,110106
11020101,Bwimo,110201
11020102,Gatare,110201
11020103,Mubuga,110201
11020104,Nyakirambi,110201
11020105,Nyamweru,110201
11020106,Ruhengeri,110201
11020201,Bibungo,110202
11020202,Bwiza,110202
11020203,Gateko,110202
11020204,Kagasa,110202
11020205,Nyabihu,110202
11020206,Rutagara I,110202
11020207,Rutagara Ii,110202
11020208,Ruyenzi,110202
11020301,Kagaramira,110203
11020302,Ngendo,110203
11020303,Nyarurama,110203
11020304,Nyarusange,110203
11020305,Rwakivumu,110203
11020306,Taba,110203
11030101,Akirwanda,110301
11030102,Gisenga,110301
11030103,Kadobogo,110301
11030104,Kagarama,110301
11030105,Kibisogi,110301
11030106,Muganza,110301
11030107,Murama,110301
11030108,Rubuye,110301
11030109,Ruhango,110301
11030110,Ryasharangabo,110301
11030201,Agakomeye,110302
11030202,Akagugu,110302
11030203,Amahoro,110302
11030204,Amajyambere,110302
11030205,Birambo,110302
11030206,Isangano,110302
11030207,Kanyabami,110302
11030208,Karambo,110302
11030209,Mwendo,110302
11030210,Ruhuha,110302
11030211,Ubuzima,110302
11030212,Umutekano,110302
11030301,Gakoni,110303
11030302,Gatare,110303
11030303,Giticyinyoni,110303
11030304,Kadobogo,110303
11030305,Kamenge,110303
11030306,Karama,110303
11030307,Kiruhura,110303
11030308,Nyabikoni,110303
11030309,Nyabugogo,110303
11030310,Ruhondo,110303
11030401,Misibya,110304
11030402,Nyabitare,110304
11030403,Ruhango,110304
11030404,Ruharabuge,110304
11030405,Ruriba,110304
11030406,Ruzigimbogo,110304
11030407,Ryamakomari,110304
11030408,Tubungo,110304
11030501,Akanyamirambo,110305
11030502,Akinama,110305
11030503,Makaga,110305
11030504,Musimba,110305
11030505,Ruhogo,110305
11030506,Rwesero,110305
11030507,Rweza,110305
11030508,Vuganyana,110305
11040101,Buhoro,110401
11040102,Busasamana,110401
11040103,Isimbi,110401
11040104,Ituze,110401
11040105,Karama,110401
11040106,Karwarugabo,110401
11040107,Kigabiro,110401
11040108,Mataba,110401
11040109,Munini,110401
11040110,Ntaraga,110401
11040111,Nunga,110401
11040112,Rurama,110401
11040113,Rutunga,110401
11040114,Tetero,110401
11040201,Akamahoro,110402
11040202,Akishinge,110402
11040203,Akishuri,110402
11040204,Amahumbezi,110402
11040205,Inganzo,110402
11040206,Kigarama,110402
11040207,Mpazi,110402
11040208,Mugina,110402
11040209,Ubumwe,110402
11040210,Ubusabane,110402
11040211,Umubano,110402
11040212,Umurinzi,110402
11040213,Uruyange,110402
11040301,Akabeza,110403
11040302,Amahoro,110403
11040303,Birama,110403
11040304,Buhoro,110403
11040305,Bwiza,110403
11040306,Byimana,110403
11040307,Gakaraza,110403
11040308,Gaseke,110403
11040309,Ihuriro,110403
11040310,Inkurunziza,110403
11040311,Karambi,110403
11040312,Kigina,110403
11040313,Kimisagara,110403
11040314,Kove,110403
11040315,Muganza,110403
11040316,Nyabugogo,110403
11040317,Nyagakoki,110403
11040318,Nyakabingo,110403
11040319,Nyamabuye,110403
11040320,Sangwa,110403
11040321,Sano,110403
11050101,Kamatamu,110501
11050102,Kankuba,110501
11050103,Karukina,110501
11050104,Musave,110501
11050105,Nyarumanga,110501
11050106,Rugendabari,110501
11050201,Ayabatanga,110502
11050202,Kankurimba,110502
11050203,Kavumu,110502
11050204,Mubura,110502
11050205,Murondo,110502
11050206,Nyakabingo,110502
11050207,Nyarubuye,110502
11050301,Burema,110503
11050302,Gahombo,110503
11050303,Kabeza,110503
11050304,Karambi,110503
11050305,Kwisanga,110503
11050306,Mageragere,110503
11050307,Mataba,110503
11050308,Rushubi,110503
11050401,Akanakamageragere,110504
11050402,Gatovu,110504
11050403,Nyabitare,110504
11050404,Nyarubande,110504
11050405,Rubungo,110504
11050406,Rwindonyi,110504
11050501,Akabungo,110505
11050502,Akamashinge,110505
11050503,Maya,110505
11050504,Nyarufunzo,110505
11050505,Nyarurama,110505
11050506,Rubete,110505
11050601,Amahoro,110506
11050602,Ayabaramba,110506
11050603,Gikuyu,110506
11050604,Iterambere,110506
11050605,Nyabirondo,110506
11050606,Nyarurenzi,110506
11050701,Gisunzu,110507
11050702,Mpanga,110507
11050703,Nkomero,110507
11050704,Runzenze,110507
11050705,Uwurugenge,110507
11060101,Amahoro,110601
11060102,Amizero,110601
11060103,Inyarurembo,110601
11060104,Kabirizi,110601
11060105,Ubuzima,110601
11060106,Uruhimbi,110601
11060201,Icyeza,110602
11060202,Ikana,110602
11060203,Intwari,110602
11060204,Kabasengerezi,110602
11060301,Hirwa,110603
11060302,Ikaze,110603
11060303,Imanzi,110603
11060304,Ingenzi,110603
11060305,Ituze,110603
11060306,Sangwa,110603
11060307,Umwezi,110603
11060401,Abeza,110604
11060402,Icyerekezo,110604
11060403,Indatwa,110604
11060404,Rwezangoro,110604
11060405,Ubucuruzi,110604
11060406,Umutekano,110604
11060501,Imihigo,110605
11060502,Impala,110605
11060503,Rugenge,110605
11060504,Ubumanzi,110605
11060601,Indamutsa,110606
11060602,Ingoro,110606
11060603,Inkingi,110606
11060604,Intiganda,110606
11060605,Iwacu,110606
11060606,Tetero,110606
11060703,Isangano,110607
11070101,Kabusunzu,110701
11070102,Munanira,110701
11070103,Ntaraga,110701
11070104,Nyagasozi,110701
11070105,Rurembo,110701
11070201,Gasiza,110702
11070202,Kamwiza,110702
11070203,Kanyange,110702
11070204,Karudandi,110702
11070205,Kigabiro,110702
11070206,Kokobe,110702
11070207,Mucyuranyana,110702
11070208,Nkundumurimbo,110702
11070301,Akinkware,110703
11070302,Gapfupfu,110703
11070303,Gasiza,110703
11070304,Kariyeri,110703
11070305,Kokobe,110703
11070306,Munini,110703
11070307,Nyakabanda,110703
11070308,Rwagitanga,110703
11070401,Ibuhoro,110704
11070402,Kabeza,110704
11070403,Kanyiranganji,110704
11070404,Karujongi,110704
11070405,Kigarama,110704
11070406,Kirwa,110704
11080101,Amizero,110801
11080102,Gabiro,110801
11080103,Imanzi,110801
11080104,Ingenzi,110801
11080105,Intwari,110801
11080106,Karisimbi,110801
11080107,Mahoro,110801
11080108,Mpano,110801
11080109,Muhabura,110801
11080110,Muhoza,110801
11080111,Munini,110801
11080112,Rugero,110801
11080113,Shema,110801
11080201,Kagunga,110802
11080202,Karukoro,110802
11080203,Rwintare,110802
11080301,Akanyana,110803
11080302,Akanyirazaninka,110803
11080303,Akarekare,110803
11080304,Akatabaro,110803
11080305,Irembo,110803
11080306,Itaba,110803
11080307,Kiberinka,110803
11080308,Mumena,110803
11080309,Rwampara,110803
11080401,Gatare,110804
11080402,Kiberinka,110804
11080403,Munanira,110804
11080404,Riba,110804
11080405,Rubona,110804
11080406,Rugarama,110804
11080407,Runyinya,110804
11080408,Rusisiro,110804
11080409,Tetero,110804
11090101,Agatare,110901
11090102,Amajyambere,110901
11090103,Inyambo,110901
11090104,Meraneza,110901
11090105,Uburezi,110901
11090106,Umucyo,110901
11090107,Umurava,110901
11090201,Biryogo,110902
11090202,Gabiro,110902
11090203,Isoko,110902
11090204,Nyiranuma,110902
11090205,Umurimo,110902
11090301,Amizero,110903
11090302,Cercle Sportif,110903
11090303,Ganza,110903
11090304,Imena,110903
11090305,Indangamirwa,110903
11090306,Ingenzi,110903
11090307,Inyarurembo,110903
11090308,Ishema,110903
11090309,Isibo,110903
11090310,Muhabura,110903
11090311,Rugunga,110903
11090312,Sugira,110903
11090401,Amahoro,110904
11090402,Gacaca,110904
11090403,Intwari,110904
11090404,Rwampara,110904
11090405,Umucyo,110904
11090406,Umuganda,110904
11100101,Muhoza,111001
11100102,Muhuza,111001
11100103,Mumararungu,111001
11100104,Murambi,111001
11100201,Buhoro,111002
11100202,Gasabo,111002
11100203,Mutara,111002
11100204,Ubusabane,111002
11100301,Abatarushwa,111003
11100302,Indatwa,111003
11100303,Inkerakubanza,111003
11100304,Intwari,111003
11100401,Amahoro,111004
11100402,Umucyo,111004
11100403,Urumuri,111004
12010101,Akakaza,120101
12010104,Muhozi,120101
12010105,Rubungo,120101
12010106,Ryakigogo,120101
12010107,Zindiro,120101
12010201,Kagarama,120102
12010202,Kayumba,120102
12010203,Ramba,120102
12010204,Rebero,120102
12010205,Rugando,120102
12010301,Kigabiro,120103
12010302,Kiyoro,120103
12010303,Murarambo,120103
12010304,Nkona,120103
12010305,Nyakabingo,120103
12010306,Rukoma,120103
12010401,Birembo,120104
12010402,Gisasa,120104
12010403,Munini,120104
12010404,Ruhinga,120104
12010405,Uwaruraza,120104
12010501,Akabenejuru,120105
12010502,Akasedogo,120105
12010503,Akimpama,120105
12010504,Burima,120105
12010505,Kityazo,120105
12010601,Bushya,120106
12010602,Gikumba,120106
12010603,Kamutamu,120106
12010604,Karama,120106
12010605,Kayenzi,120106
12010606,Kigara,120106
12010607,Kiriza,120106
12010608,Masizi,120106
12010609,Mbogo,120106
12010610,Nyampamo,120106
12010701,Akanyiramugarura,120107
12010702,Akigabiro,120107
12010703,Gishaka,120107
12010704,Kabuye,120107
12010705,Mpabwa,120107
12010706,Nyagasambu,120107
12010707,Urutarishonga,120107
12020101,Akamamana,120201
12020102,Akimihigo,120201
12020103,Bigega,120201
12020104,Busasamana,120201
12020105,Kingasire,120201
12020106,Kumuyange,120201
12020107,Muremera,120201
12020108,Nyagasozi,120201
12020109,Rugoro,120201
12020110,Rwesero,120201
12020111,Tetero,120201
12020201,Agakomeye,120202
12020202,Gashubi,120202
12020203,Gisiza,120202
12020204,Hanika,120202
12020205,Juru,120202
12020206,Kibaya,120202
12020207,Mpakabavu,120202
12020208,Musango,120202
12020209,Ndengo,120202
12020210,Nyakabande,120202
12020211,Nyakanunga,120202
12020212,Rubonobono,120202
12020213,Runyonza,120202
12020214,Rusoro,120202
12020215,Ruvumero,120202
12020216,Uwagatovu,120202
12020301,Agataramo,120203
12020302,Akamwunguzi,120203
12020303,Akarubimbura,120203
12020304,Akisoko,120203
12020305,Amarembo,120203
12020306,Amizero,120203
12020307,Bwiza,120203
12020308,Ihuriro,120203
12020309,Isangano,120203
12020310,Kanyonyomba,120203
12020311,Nyakariba,120203
12020312,Rwakarihejuru,120203
12030101,Bwimiyange,120301
12030102,Bwingeyo,120301
12030103,Gasagara,120301
12030104,Rugwiza,120301
12030201,Ntaganzwa,120302
12030202,Nyagasozi,120302
12030203,Nyagisozi,120302
12030204,Ruganda,120302
12030301,Gahinga,120303
12030302,Gasharu,120303
12030303,Kibobo,120303
12030304,Nombe,120303
12030401,Munini,120304
12030402,Mutokerezwa,120304
12030403,Rudakabukirwa,120304
12030404,Runyinya,120304
12030501,Kimisebeya,120305
12030502,Kivugiza,120305
12030503,Rugarama,120305
12030504,Twina,120305
12040101,Amajyambere,120401
12040102,Amarembo,120401
12040103,Byimana,120401
12040104,Gasave,120401
12040105,Gasharu,120401
12040106,Kagara,120401
12040107,Nyakariba,120401
12040108,Rwinyana,120401
12040201,Kanyinya,120402
12040202,Kumukenke,120402
12040203,Murambi,120402
12040204,Ntora,120402
12040205,Rukeri,120402
12040206,Umurava,120402
12050101,Akamatamu,120501
12050102,Cyeyere,120501
12050103,Murehe,120501
12050104,Nyacyonga,120501
12050105,Nyagasozi,120501
12050106,Nyarukurazo,120501
12050201,Agakenke,120502
12050202,Agatare,120502
12050203,Akinyana,120502
12050204,Gikingo,120502
12050205,Gitega,120502
12050206,Gitenga,120502
12050207,Nyakabingo,120502
12050208,Nyarurama,120502
12050209,Rugogwe,120502
12050210,Taba,120502
12050301,Amakawa,120503
12050302,Amasangano,120503
12050303,Buliza,120503
12050304,Ihuriro,120503
12050305,Kabeza,120503
12050306,Karuruma,120503
12050307,Murama,120503
12050308,Nyagasozi,120503
12050309,Rebero,120503
12050310,Rugarama,120503
12050311,Tetero,120503
12050401,Agasekabuye,120504
12050402,Agatare,120504
12050403,Amasangano,120504
12050404,Mubuga,120504
12050405,Nyamweru,120504
12050501,Agahama,120505
12050502,Agasharu,120505
12050503,Akabuga,120505
12050504,Jurwe,120505
12050505,Kiberinka,120505
12050506,Nyakirehe,120505
12050507,Nyarubuye,120505
12050508,Rubona,120505
12050509,Rwanyanza,120505
12050510,Uwanyange,120505
12060101,Bugarama,120601
12060102,Bukamba,120601
12060103,Byimana,120601
12060104,Kabizoza,120601
12060105,Kinunga,120601
12060106,Urunyinya,120601
12060107,Rwankuba,120601
12060201,Kabande,120602
12060202,Gatare,120602
12060203,Nyamugali,120602
12060204,Nyarubuye,120602
12060301,Gahinga,120603
12060302,Gatare,120603
12060303,Umunyinya,120603
12060401,Agatwa,120604
12060402,Kabagina,120604
12060403,Kajevuba,120604
12060404,Kigarama,120604
12060405,Nyagasayo,120604
12060501,Nyaburira,120605
12060502,Kirehe,120605
12060503,Mataba,120605
12060504,Nyarurembo,120605
12060505,Rubona,120605
12060601,Bwocya,120606
12060602,Gitaba,120606
12060603,Karenge,120606
12060604,Rugina,120606
12060605,Ruhihi,120606
12060701,Agasharu,120607
12060702,Agatare,120607
12060703,Kabuga,120607
12060704,Runyinya,120607
12070101,Amajyambere,120701
12070102,Bukinanyana,120701
12070103,Cyimana,120701
12070104,Gataba,120701
12070105,Itetero,120701
12070106,Kabare,120701
12070107,Kamuhire,120701
12070108,Karukamba,120701
12070109,Nyagacyamo,120701
12070110,Rwinzovu,120701
12070111,Urugwiro,120701
12070112,Uruhongore,120701
12070201,Agasaro,120702
12070202,Gasharu,120702
12070203,Inkingi,120702
12070204,Kanserege,120702
12070205,Kigugu,120702
12070206,Ruganwa,120702
12070207,Umuco,120702
12070209,Urugero,120702
12070210,Urwibutso,120702
12070301,Amahoro,120703
12070302,Bwiza,120703
12070303,Ihuriro,120703
12070304,Ineza,120703
12070305,Inyange,120703
12070306,Iriba,120703
12070307,Kabagari,120703
12070308,Ubumwe,120703
12070309,Umutako,120703
12070310,Urukundo,120703
12070311,Virunga,120703
12080101,Inyamibwa,120801
12080102,Isangano,120801
12080103,Isano,120801
12080104,Ituze,120801
12080105,Izuba,120801
12080106,Juru,120801
12080107,Nyenyeri,120801
12080108,Umurava,120801
12080109,Urumuri,120801
12080201,Amahoro,120802
12080202,Amajyambere,120802
12080203,Imihigo,120802
12080204,Intambwe,120802
12080205,Mutara,120802
12080206,Rugarama,120802
12080207,Ubumwe,120802
12080208,Umutekano,120802
12080209,Urwego,120802
12080301,Gasange,120803
12080302,Gasasa,120803
12080304,Rebero,120803
12080305,Taba,120803
12090101,Abatuje,120901
12090102,Amariza,120901
12090103,Imanzi,120901
12090104,Imena,120901
12090105,Imitari,120901
12090106,Inganji,120901
12090107,Ingenzi,120901
12090108,Ingeri,120901
12090109,Inshuti,120901
12090110,Intashyo,120901
12090111,Intwari,120901
12090112,Inyamibwa,120901
12090113,Inyange,120901
12090114,Ubwiza,120901
12090115,Umwezi,120901
12090201,Akintwari,120902
12090202,Buranga,120902
12090203,Gasharu,120902
12090204,Ibuhoro,120902
12090205,Kageyo,120902
12090206,Kamahinda,120902
12090207,Karisimbi,120902
12090208,Karongi,120902
12090209,Nyirabwana,120902
12090210,Ramiro,120902
12090211,Rindiro,120902
12090212,Rugero,120902
12090213,Rukurazo,120902
12090214,Urumuri,120902
12090301,Ibukinanyana,120903
12090302,Ibuhoro,120903
12090303,Ijabiro,120903
12090304,Isangano,120903
12090305,Itetero,120903
12090306,Urugwiro,120903
12100103,Akarambo,121001
12100104,Akaruvusha,121001
12100107,Estate 2020,121001
12100108,Kabuhunde Ii,121001
12100111,Urugarama,121001
12100112,Ururembo,121001
12100201,Agatare,121002
12100202,Gasharu,121002
12100203,Kami,121002
12100204,Rwankuba,121002
12100301,Dusenyi,121003
12100302,Gicikiza,121003
12100303,Giheka,121003
12100304,Kabuhunde I,121003
12100305,Kadobogo,121003
12100306,Kagarama,121003
12100307,Muhororo,121003
12100308,Nyakabungo,121003
12100309,Rukingu,121003
12100401,Binunga,121004
12100402,Ngaruyinka,121004
12100403,Rusenyi,121004
12100404,Taba,121004
12110101,Akarwasa,121101
12110102,Akasemuromba,121101
12110103,Bucyemba,121101
12110104,Gasharu,121101
12110105,Mukagarama,121101
12110106,Ruhangare,121101
12110201,Ayabakora,121102
12110202,Cyaruzinge,121102
12110203,Gashure,121102
12110204,Gatare,121102
12110205,Gisura,121102
12110206,Karubibi,121102
12110207,Mulindi,121102
12110301,Bahoze,121103
12110302,Berwa,121103
12110303,Buhoro,121103
12110304,Burunga,121103
12110305,Gitaraga,121103
12110306,Kira,121103
12110307,Nezerwa,121103
12110308,Rugazi,121103
12110309,Runyonza,121103
12110310,Tumurere,121103
12110311,Ururembo,121103
12110401,Byimana,121104
12110402,Kabeza,121104
12110403,Masoro,121104
12110404,Matwari,121104
12110405,Mubuga,121104
12110406,Munini,121104
12110501,Akamusare,121105
12110502,Akimana,121105
12110503,Gasharu,121105
12110504,Jurwe,121105
12110505,Karambo,121105
12110506,Kigabiro,121105
12110507,Ruseno,121105
12110601,Kacyinyaga,121106
12110602,Kamahoro,121106
12110603,Munini,121106
12110604,Nyakagezi,121106
12110605,Ruhangare,121106
12110606,Ruhogo,121106
12120101,Kanani,121201
12120102,Kidahe,121201
12120103,Kigabiro,121201
12120104,Nyamurambi,121201
12120105,Nyarubuye,121201
12120106,Nyura,121201
12120201,Gatagara,121202
12120202,Kagarama,121202
12120203,Nyabitare,121202
12120204,Nyakabungo,121202
12120205,Nyarubande,121202
12120206,Uruhetse,121202
12120301,Agacyamo,121203
12120302,Gashinya,121203
12120303,Gikombe,121203
12120304,Kazi,121203
12120305,Kigufi,121203
12120306,Nyirakibehe,121203
12120307,Uruhahiro,121203
12120401,Agasharu,121204
12120402,Amataba,121204
12120403,Burungero,121204
12120404,Karama,121204
12120405,Nyange,121204
12120406,Rebero,121204
12120407,Uruyange,121204
12120501,Gatobotobo,121205
12120502,Kibungo,121205
12120503,Musezero,121205
12120504,Nyaburoro,121205
12120505,Taba,121205
12120601,Bikumba,121206
12120602,Gakizi,121206
12120603,Gatare,121206
12120604,Kamuyange,121206
12120605,Kigarama,121206
12120606,Ngara,121206
12120701,Akazi,121207
12120702,Kaduha,121207
12120703,Kamuhoza,121207
12120704,Mirambi,121207
12120705,Munini,121207
12120706,Ndanyoye,121207
12120707,Nyamigina,121207
12120708,Rugarama,121207
12130101,Amarembo I,121301
12130102,Amarembo Il,121301
12130103,Gihogere,121301
12130104,Kagara,121301
12130105,Kinunga,121301
12130106,Nyabisindu,121301
12130107,Rugarama,121301
12130201,Gishushu,121302
12130202,Juru,121302
12130203,Kamahwa,121302
12130204,Kangondo I,121302
